Эритроциты (10х12/л);RBC;3,6-4,6;4,1-5,2
Средний объем эритроцитов (фл или мкм3);MCV;82-98;81-95
Гемоглобин (г/л);HGB;122-138;128-150
Средний уровень HGB в эритроците (пг);MCH;26-32;26-32
Цветной показатель;ЦП;0,8-1,2;0,8-1,2
Гематокрит (в % соотношении);HCT;35-44;40-50
Тромбоциты (10х9/л);PLT;178-318;178-318
Средняя концентрация эритроцитов в гемоглобине (%);MCHC;31-38;31-38
Ретикулоциты (%);RET;0,4-1,3;0,4-1,3
Лейкоциты (10х9/л);WBC;4-10;4-10
Средний объем тромбоцитов (фл или мкм3);MPV;8-12;8-12
СОЭ (мм/ч);ESR;2-8;2-16
Анизоцитоз эритроцитов (%);RFV;11,3-14,6;11,3-14,6
